location,AccHalfAng__DEG,RCR,CR,r_a__m,rr_g,rr_ut,rt_g,rgap,length__m,beta__DEG,T_in__K,intensity__Wh__m2,datetime__now
PHOENIX SKY HARBOR INTL AP,70,0.998894749372679,1.09037721623282,0.02,1.1,0.1,0.2,0.1,1,48.45,400,724357.052649033,736077.108398229
PHOENIX SKY HARBOR INTL AP,70,0.998894749372679,1.09037721623282,0.02,1.1,0.2,0.2,0.1,1,48.45,400,724358.329117083,736077.108398229
PHOENIX SKY HARBOR INTL AP,70,0.998894749372679,1.09037721623282,0.02,1.1,0.3,0.2,0.1,1,48.45,400,724358.329117079,736077.108398229
PHOENIX SKY HARBOR INTL AP,70,0.998894749372679,1.09037721623282,0.02,1.1,0.1,0.2,0.1,1.5,48.45,400,767739.764924058,736077.108398229
PHOENIX SKY HARBOR INTL AP,70,0.998894749372679,1.09037721623282,0.02,1.1,0.2,0.2,0.1,1.5,48.45,400,767740.753120297,736077.108398229
PHOENIX SKY HARBOR INTL AP,70,0.998894749372679,1.09037721623282,0.02,1.1,0.3,0.2,0.1,1.5,48.45,400,767740.753120299,736077.108398229
PHOENIX SKY HARBOR INTL AP,70,0.998894749372679,1.09037721623282,0.02,1.1,0.1,0.2,0.1,2,48.45,400,845384.547039183,736077.108398229
PHOENIX SKY HARBOR INTL AP,70,0.998894749372679,1.09037721623282,0.02,1.1,0.2,0.2,0.1,2,48.45,400,793227.909209746,736077.108398229
PHOENIX SKY HARBOR INTL AP,70,0.998894749372679,1.09037721623282,0.02,1.1,0.3,0.2,0.1,2,48.45,400,793227.909209745,736077.108398229
PHOENIX SKY HARBOR INTL AP,70,0.998894749372677,1.09037721623282,0.03,1.1,0.1,0.2,0.1,1,48.45,400,725608.711183632,736077.108398229
PHOENIX SKY HARBOR INTL AP,70,0.998894749372677,1.09037721623282,0.03,1.1,0.2,0.2,0.1,1,48.45,400,725609.973745624,736077.108398229
PHOENIX SKY HARBOR INTL AP,70,0.998894749372677,1.09037721623282,0.03,1.1,0.3,0.2,0.1,1,48.45,400,725609.973745624,736077.108398229
PHOENIX SKY HARBOR INTL AP,70,0.998894749372677,1.09037721623282,0.03,1.1,0.1,0.2,0.1,1.5,48.45,400,770681.382114005,736077.108398229
PHOENIX SKY HARBOR INTL AP,70,0.998894749372677,1.09037721623282,0.03,1.1,0.2,0.2,0.1,1.5,48.45,400,770682.333032198,736077.108398229
PHOENIX SKY HARBOR INTL AP,70,0.998894749372677,1.09037721623282,0.03,1.1,0.3,0.2,0.1,1.5,48.45,400,770682.333032202,736077.108398229
PHOENIX SKY HARBOR INTL AP,70,0.998894749372677,1.09037721623282,0.03,1.1,0.1,0.2,0.1,2,48.45,400,861586.49197644,736077.108398229
PHOENIX SKY HARBOR INTL AP,70,0.998894749372677,1.09037721623282,0.03,1.1,0.2,0.2,0.1,2,48.45,400,797188.336830253,736077.108398229
PHOENIX SKY HARBOR INTL AP,70,0.998894749372677,1.09037721623282,0.03,1.1,0.3,0.2,0.1,2,48.45,400,797188.336830252,736077.108398229
PHOENIX SKY HARBOR INTL AP,70,0.998894749372679,1.09037721623282,0.04,1.1,0.1,0.2,0.1,1,48.45,400,728138.970071092,736077.108398229
PHOENIX SKY HARBOR INTL AP,70,0.998894749372679,1.09037721623282,0.04,1.1,0.2,0.2,0.1,1,48.45,400,728140.326040747,736077.108398229
PHOENIX SKY HARBOR INTL AP,70,0.998894749372679,1.09037721623282,0.04,1.1,0.3,0.2,0.1,1,48.45,400,728140.326040744,736077.108398229
PHOENIX SKY HARBOR INTL AP,70,0.998894749372679,1.09037721623282,0.04,1.1,0.1,0.2,0.1,1.5,48.45,400,774421.573624831,736077.108398229
PHOENIX SKY HARBOR INTL AP,70,0.998894749372679,1.09037721623282,0.04,1.1,0.2,0.2,0.1,1.5,48.45,400,774422.630761323,736077.108398229
PHOENIX SKY HARBOR INTL AP,70,0.998894749372679,1.09037721623282,0.04,1.1,0.3,0.2,0.1,1.5,48.45,400,774422.630761323,736077.108398229
PHOENIX SKY HARBOR INTL AP,70,0.998894749372679,1.09037721623282,0.04,1.1,0.1,0.2,0.1,2,48.45,400,875172.247622139,736077.108398229
PHOENIX SKY HARBOR INTL AP,70,0.998894749372679,1.09037721623282,0.04,1.1,0.2,0.2,0.1,2,48.45,400,801621.277590685,736077.108398229
PHOENIX SKY HARBOR INTL AP,70,0.998894749372679,1.09037721623282,0.04,1.1,0.3,0.2,0.1,2,48.45,400,801621.277590684,736077.108398229
PHOENIX SKY HARBOR INTL AP,60,0.99945425901052,1.18313710684611,0.02,1.1,0.1,0.2,0.1,1,18.45,400,731970.399562363,736077.107809988
PHOENIX SKY HARBOR INTL AP,60,0.99945425901052,1.18313710684611,0.02,1.1,0.2,0.2,0.1,1,18.45,400,731971.510033619,736077.107809988
PHOENIX SKY HARBOR INTL AP,60,0.99945425901052,1.18313710684611,0.02,1.1,0.3,0.2,0.1,1,18.45,400,731971.510033619,736077.107809988
PHOENIX SKY HARBOR INTL AP,60,0.99945425901052,1.18313710684611,0.02,1.1,0.1,0.2,0.1,1.5,18.45,400,818751.612699876,736077.107809988
PHOENIX SKY HARBOR INTL AP,60,0.99945425901052,1.18313710684611,0.02,1.1,0.2,0.2,0.1,1.5,18.45,400,769493.847328144,736077.107809988
PHOENIX SKY HARBOR INTL AP,60,0.99945425901052,1.18313710684611,0.02,1.1,0.3,0.2,0.1,1.5,18.45,400,769493.847328145,736077.107809988
PHOENIX SKY HARBOR INTL AP,60,0.99945425901052,1.18313710684611,0.02,1.1,0.1,0.2,0.1,2,18.45,400,843120.223972969,736077.107809988
PHOENIX SKY HARBOR INTL AP,60,0.99945425901052,1.18313710684611,0.02,1.1,0.2,0.2,0.1,2,18.45,400,791424.285501792,736077.107809988
PHOENIX SKY HARBOR INTL AP,60,0.99945425901052,1.18313710684611,0.02,1.1,0.3,0.2,0.1,2,18.45,400,791424.285501792,736077.107809988
PHOENIX SKY HARBOR INTL AP,60,0.999454259010519,1.18313710684611,0.03,1.1,0.1,0.2,0.1,1,18.45,400,730610.098781576,736077.107809988
PHOENIX SKY HARBOR INTL AP,60,0.999454259010519,1.18313710684611,0.03,1.1,0.2,0.2,0.1,1,18.45,400,730611.198320841,736077.107809988
PHOENIX SKY HARBOR INTL AP,60,0.999454259010519,1.18313710684611,0.03,1.1,0.3,0.2,0.1,1,18.45,400,730611.198320837,736077.107809988
PHOENIX SKY HARBOR INTL AP,60,0.999454259010519,1.18313710684611,0.03,1.1,0.1,0.2,0.1,1.5,18.45,400,829655.92005008,736077.107809988
PHOENIX SKY HARBOR INTL AP,60,0.999454259010519,1.18313710684611,0.03,1.1,0.2,0.2,0.1,1.5,18.45,400,769754.199232699,736077.107809988
PHOENIX SKY HARBOR INTL AP,60,0.999454259010519,1.18313710684611,0.03,1.1,0.3,0.2,0.1,1.5,18.45,400,769754.199232698,736077.107809988
PHOENIX SKY HARBOR INTL AP,60,0.999454259010519,1.18313710684611,0.03,1.1,0.1,0.2,0.1,2,18.45,400,856385.006332746,736077.107809988
PHOENIX SKY HARBOR INTL AP,60,0.999454259010519,1.18313710684611,0.03,1.1,0.2,0.2,0.1,2,18.45,400,792726.647477351,736077.107809988
PHOENIX SKY HARBOR INTL AP,60,0.999454259010519,1.18313710684611,0.03,1.1,0.3,0.2,0.1,2,18.45,400,792726.647477355,736077.107809988
PHOENIX SKY HARBOR INTL AP,60,0.99945425901052,1.18313710684611,0.04,1.1,0.1,0.2,0.1,1,18.45,400,730841.916232295,736077.107809988
PHOENIX SKY HARBOR INTL AP,60,0.99945425901052,1.18313710684611,0.04,1.1,0.2,0.2,0.1,1,18.45,400,730843.100718429,736077.107809988
PHOENIX SKY HARBOR INTL AP,60,0.99945425901052,1.18313710684611,0.04,1.1,0.3,0.2,0.1,1,18.45,400,730843.100718431,736077.107809988
PHOENIX SKY HARBOR INTL AP,60,0.99945425901052,1.18313710684611,0.04,1.1,0.1,0.2,0.1,1.5,18.45,400,838800.60574109,736077.107809988
PHOENIX SKY HARBOR INTL AP,60,0.99945425901052,1.18313710684611,0.04,1.1,0.2,0.2,0.1,1.5,18.45,400,771224.924691964,736077.107809988
PHOENIX SKY HARBOR INTL AP,60,0.99945425901052,1.18313710684611,0.04,1.1,0.3,0.2,0.1,1.5,18.45,400,771224.924691965,736077.107809988
PHOENIX SKY HARBOR INTL AP,60,0.99945425901052,1.18313710684611,0.04,1.1,0.1,0.2,0.1,2,18.45,400,867654.625239368,736077.107809988
PHOENIX SKY HARBOR INTL AP,60,0.99945425901052,1.18313710684611,0.04,1.1,0.2,0.2,0.1,2,18.45,400,795033.444245624,736077.107809988
