location,AccHalfAng__DEG,RCR,CR,r_a__m,rr_g,rr_ut,rt_g,rgap,length__m,beta__DEG,T_in__K,intensity__Wh__m2,datetime__now
INDIANAPOLIS INTL AP,59.712734782993,0.500180988080701,1.15873055521002,0.0400336263307317,1.69905769293728,0.200002719727403,0.200004401689374,9.90817230525252e-07,2,30.319714756996,473,332896.967935437,736082.691894606
LOS ANGELES INTL ARPT,62.0195708376973,0.500009007936998,1.12436026986623,0.0499999999640841,1.56056448615593,0.200000002086733,0.200000001336368,8.7364731136217e-07,2,28.6294723915101,453,585014.972913878,736082.690284051
ATLANTA HARTSFIELD INTL AP,64.1348350000285,0.750769181867445,1.26361581825341,0.0490736515657254,1.99194234140069,0.200003510701736,0.200000543871662,4.73914404213405e-07,2,17.9325530146195,513,333746.946376492,736082.689682801
PHOENIX SKY HARBOR INTL AP,63.4939026833641,0.499974612072892,1.11836544580258,0.0499999990391816,1.57684969958007,0.200000037635134,0.200000030639343,1.1439944778049e-06,2,30.4017780130237,473,705221.386735268,736082.68964434
ATLANTA HARTSFIELD INTL AP,60.0001692499626,0.500051376489945,1.14301845988606,0.0400001141924495,1.50500401409277,0.289999373768576,0.469996295473876,0.100009990764856,2,25.0004501473857,493,300049.059142552,736082.681371262
PHOENIX SKY HARBOR INTL AP,68.9919931370787,0.500009988197902,1.07458404557277,0.0499999999565819,1.43394001509893,0.200000005579497,0.200000005274816,8.47943358044211e-07,2,30.0485548745324,453,789373.697613879,736082.680821644
LOS ANGELES INTL ARPT,60.0003722905153,0.500006850371426,1.142985614267,0.0499999999928692,1.60485217606787,0.200000039982317,0.200000023975106,3.10743451854177e-05,2,28.7134308079057,453,581795.03199816,736082.68072956
INDIANAPOLIS INTL AP,64.5540121132525,0.500009988020766,1.11852116312746,0.0499999998687676,1.61829947697842,0.200000003469912,0.200008371775393,2.65969958142719e-11,2,30.8293434811349,453,419101.202037151,736082.6769164
ATLANTA HARTSFIELD INTL AP,60.2221627293849,0.447297318118743,1.14407776559363,0.0405915978518878,1.62813183330607,0.281485559866385,0.446985203291147,0.109538708840243,2,28.9330586772663,473,365947.234831946,736082.676897986
INDIANAPOLIS INTL AP,64.5540121132532,0.500009973194406,1.11852115961298,0.0499999998687676,1.61829947697786,0.200000003469912,0.200008371775393,2.65969958142718e-11,2,30.8293434811367,453,419101.155532635,736082.674456146
PHOENIX SKY HARBOR INTL AP,68.9900502209536,0.500009072392993,1.0746004137935,0.0499999999529804,1.43401469211426,0.200000599362421,0.200000013989057,2.13067728805033e-09,2,30.3336302771402,453,789362.860303243,736082.673738981
LOS ANGELES INTL ARPT,78.9964709047704,0.750009995837473,1.08947814032225,0.0499999968672873,1.54402682127723,0.399999395963975,0.200000005990786,4.04446498196888e-07,2,28.0457261644278,433,612501.668760109,736082.672292187
LOS ANGELES INTL ARPT,78.9964707454515,0.750009660685611,1.08947808554603,0.0499999968672912,1.54402673900585,0.399999395964023,0.200000005990786,4.04445597316026e-07,2,28.0457184814401,433,612500.330967548,736082.668161424
ATLANTA HARTSFIELD INTL AP,66.9976010955453,0.500009992982002,1.0961633185487,0.0499999996907754,1.5390517754836,0.200000010260801,0.200000006360715,2.89839080928705e-09,2,28.7494289904413,453,521448.22150116,736082.667968947
PHOENIX SKY HARBOR INTL AP,67.6497067174698,0.49939413111116,1.08167760929839,0.0499999989265348,1.44860972308348,0.200000808186451,0.20000001706604,1.64943266415739e-09,2,30.6546236284432,453,788449.995555908,736082.665435023
INDIANAPOLIS INTL AP,65.8236364640617,0.500380585762174,1.10945237803731,0.049999999938177,1.59747024095692,0.20000000014944,0.200010779789385,2.1268126950585e-11,2,30.6044423335095,453,418438.459357068,736082.663511019
ATLANTA HARTSFIELD INTL AP,66.9960556150369,0.500013936585297,1.09616842599302,0.0499999996907754,1.53903292123192,0.200000010260801,0.200000006360715,2.89838798954369e-09,2,28.7494773210735,453,521409.526325032,736082.659602535
